ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM88,Anoka County,M,8,8,1,0,1,0,0,1,1,,
AM816,Anoka County,M,8,16,0,1,1,1,0,1,1,,
AM826,Anoka County,M,8,26,1,1,1,1,0,1,1,,
AM91,Anoka County,M,9,1,0,0,1,0,0,1,361,,
AM92,Anoka County,M,9,2,0,1,1,0,0,0,11,,
AM93,Anoka County,M,9,3,0,0,1,1,0,0,19,,
AM94,Anoka County,M,9,4,1,0,1,0,0,0,5,,
AM96,Anoka County,M,9,6,0,0,1,0,0,0,3,,
AM97,Anoka County,M,9,7,0,0,1,1,0,1,2,,
AM98,Anoka County,M,9,8,1,0,1,0,0,1,2,,
AM910,Anoka County,M,9,10,0,1,1,1,0,0,3,,
AM912,Anoka County,M,9,12,0,1,1,0,1,0,1,,
AM917,Anoka County,M,9,17,1,1,1,0,0,1,1,,
AM921,Anoka County,M,9,21,1,0,1,0,1,1,1,,
AM929,Anoka County,M,9,29,1,0,1,1,1,1,1,,
AM101,Anoka County,M,10,1,0,0,1,0,0,1,273,,
AM102,Anoka County,M,10,2,0,1,1,0,0,0,7,,
AM103,Anoka County,M,10,3,0,0,1,1,0,0,7,,
AM104,Anoka County,M,10,4,1,0,1,0,0,0,2,,
AM105,Anoka County,M,10,5,0,0,1,0,1,0,1,,
AM106,Anoka County,M,10,6,0,0,1,0,0,0,2,,
AM107,Anoka County,M,10,7,0,0,1,1,0,1,1,,
AM1010,Anoka County,M,10,10,0,1,1,1,0,0,1,,
AM1016,Anoka County,M,10,16,0,1,1,1,0,1,1,,
AM111,Anoka County,M,11,1,0,0,1,0,0,1,193,,
AM112,Anoka County,M,11,2,0,1,1,0,0,0,8,,
AM113,Anoka County,M,11,3,0,0,1,1,0,0,9,,
AM114,Anoka County,M,11,4,1,0,1,0,0,0,7,,
AM115,Anoka County,M,11,5,0,0,1,0,1,0,1,,
AM117,Anoka County,M,11,7,0,0,1,1,0,1,3,,
AM118,Anoka County,M,11,8,1,0,1,0,0,1,1,,
AM121,Anoka County,M,12,1,0,0,1,0,0,1,122,,
AM122,Anoka County,M,12,2,0,1,1,0,0,0,6,,
AM123,Anoka County,M,12,3,0,0,1,1,0,0,4,,
AM126,Anoka County,M,12,6,0,0,1,0,0,0,1,,
AM127,Anoka County,M,12,7,0,0,1,1,0,1,1,,
AM1210,Anoka County,M,12,10,0,1,1,1,0,0,1,,
AM1216,Anoka County,M,12,16,0,1,1,1,0,1,1,,
AM131,Anoka County,M,13,1,0,0,1,0,0,1,79,,
AM133,Anoka County,M,13,3,0,0,1,1,0,0,4,,
AM134,Anoka County,M,13,4,1,0,1,0,0,0,1,,
AM136,Anoka County,M,13,6,0,0,1,0,0,0,1,,
AM137,Anoka County,M,13,7,0,0,1,1,0,1,2,,
AM1313,Anoka County,M,13,13,1,0,1,1,0,0,1,,
AM141,Anoka County,M,14,1,0,0,1,0,0,1,31,,
AM142,Anoka County,M,14,2,0,1,1,0,0,0,1,,
AM143,Anoka County,M,14,3,0,0,1,1,0,0,2,,
AM145,Anoka County,M,14,5,0,0,1,0,1,0,3,,
AM147,Anoka County,M,14,7,0,0,1,1,0,1,2,,
AM1413,Anoka County,M,14,13,1,0,1,1,0,0,1,,
AM151,Anoka County,M,15,1,0,0,1,0,0,1,35,,
AM153,Anoka County,M,15,3,0,0,1,1,0,0,2,,
AM157,Anoka County,M,15,7,0,0,1,1,0,1,1,,
AM161,Anoka County,M,16,1,0,0,1,0,0,1,23,,
AM163,Anoka County,M,16,3,0,0,1,1,0,0,1,,
AM171,Anoka County,M,17,1,0,0,1,0,0,1,9,,
AM173,Anoka County,M,17,3,0,0,1,1,0,0,1,,
AM181,Anoka County,M,18,1,0,0,1,0,0,1,5,,
AF11,Anoka County,F,1,1,0,0,0,0,0,1,7970,,
AF12,Anoka County,F,1,2,0,1,0,0,0,0,855,,
AF13,Anoka County,F,1,3,0,0,0,1,0,0,38,,
AF14,Anoka County,F,1,4,1,0,0,0,0,0,614,,
AF15,Anoka County,F,1,5,0,0,0,0,1,0,1,,
AF16,Anoka County,F,1,6,0,0,0,0,0,0,325,,
AF17,Anoka County,F,1,7,0,0,0,1,0,1,92,,
AF18,Anoka County,F,1,8,1,0,0,0,0,1,201,,
AF19,Anoka County,F,1,9,0,0,0,0,1,1,5,,
AF110,Anoka County,F,1,10,0,1,0,1,0,0,13,,
AF111,Anoka County,F,1,11,1,1,0,0,0,0,4,,
AF113,Anoka County,F,1,13,1,0,0,1,0,0,2,,
AF116,Anoka County,F,1,16,0,1,0,1,0,1,35,,
AF117,Anoka County,F,1,17,1,1,0,0,0,1,3,,
AF119,Anoka County,F,1,19,0,0,0,1,0,1,2,,
AF120,Anoka County,F,1,20,0,0,0,1,1,1,2,,
AF122,Anoka County,F,1,22,1,1,0,1,0,0,1,,
